MR,00000000000000000000000000000001,0000000006,0003,4001
MR,00000000000000000000000000000002,0000000006,0003,4002
LR,00000000000000000000000000000003,0000000006,0003,4003
FR,00000000000000000000000000000000,0000000006,0004,4079
MR,00000000000000000000000000000001,0000000006,0004,4080
MR,00000000000000000000000000000002,0000000006,0004,4081
LR,00000000000000000000000000000003,0000000006,0004,4082
FR,00000000000000000000000000000000,0000000006,0005,4204
MR,00000000000000000000000000000001,0000000006,0005,4205
MR,00000000000000000000000000000002,0000000006,0005,4206
LR,00000000000000000000000000000003,0000000006,0005,4207
FR,00000000000000000000000000000000,0000000007,0000,4329
MR,00000000000000000000000000000001,0000000007,0000,4330
MR,00000000000000000000000000000002,0000000007,0000,4331
LR,00000000000000000000000000000003,0000000007,0000,4332
FR,00000000000000000000000000000000,0000000007,0001,4374
MR,00000000000000000000000000000001,0000000007,0001,4375
MR,00000000000000000000000000000002,0000000007,0001,4376
LR,00000000000000000000000000000003,0000000007,0001,4377
FR,00000000000000000000000000000000,0000000007,0002,4454
MR,00000000000000000000000000000001,0000000007,0002,4455
MR,00000000000000000000000000000002,0000000007,0002,4456
LR,00000000000000000000000000000003,0000000007,0002,4457
FR,00000000000000000000000000000000,0000000007,0003,4473
MR,00000000000000000000000000000001,0000000007,0003,4474
MR,00000000000000000000000000000002,0000000007,0003,4475
LR,00000000000000000000000000000003,0000000007,0003,4476
FR,00000000000000000000000000000000,0000000007,0004,4479
MR,00000000000000000000000000000001,0000000007,0004,4480
MR,00000000000000000000000000000002,0000000007,0004,4481
LR,00000000000000000000000000000003,0000000007,0004,4482
FR,00000000000000000000000000000000,0000000007,0005,4579
MR,00000000000000000000000000000001,0000000007,0005,4580
MR,00000000000000000000000000000002,0000000007,0005,4581
LR,00000000000000000000000000000003,0000000007,0005,4582
FR,00000000000000000000000000000000,0000000008,0000,4704
MR,00000000000000000000000000000001,0000000008,0000,4705
MR,00000000000000000000000000000002,0000000008,0000,4706
LR,00000000000000000000000000000003,0000000008,0000,4707
FR,00000000000000000000000000000000,0000000008,0001,4829
MR,00000000000000000000000000000001,0000000008,0001,4830
MR,00000000000000000000000000000002,0000000008,0001,4831
LR,00000000000000000000000000000003,0000000008,0001,4832
FR,00000000000000000000000000000000,0000000008,0002,4954
MR,00000000000000000000000000000001,0000000008,0002,4955
MR,00000000000000000000000000000002,0000000008,0002,4956
LR,00000000000000000000000000000003,0000000008,0002,4957
FR,00000000000000000000000000000000,0000000008,0003,5079
MR,00000000000000000000000000000001,0000000008,0003,5080
MR,00000000000000000000000000000002,0000000008,0003,5081
LR,00000000000000000000000000000003,0000000008,0003,5082
FR,00000000000000000000000000000000,0000000008,0004,5108
MR,00000000000000000000000000000001,0000000008,0004,5109
MR,00000000000000000000000000000002,0000000008,0004,5110
LR,00000000000000000000000000000003,0000000008,0004,5111
FR,00000000000000000000000000000000,0000000008,0005,5204
MR,00000000000000000000000000000001,0000000008,0005,5205
MR,00000000000000000000000000000002,0000000008,0005,5206
LR,00000000000000000000000000000003,0000000008,0005,5207
FR,00000000000000000000000000000000,0000000009,0000,5252
MR,00000000000000000000000000000001,0000000009,0000,5253
MR,00000000000000000000000000000002,0000000009,0000,5254
LR,00000000000000000000000000000003,0000000009,0000,5255
FR,00000000000000000000000000000000,0000000009,0001,5329
MR,00000000000000000000000000000001,0000000009,0001,5330
MR,00000000000000000000000000000002,0000000009,0001,5331
LR,00000000000000000000000000000003,0000000009,0001,5332
FR,00000000000000000000000000000000,0000000009,0002,5454
MR,00000000000000000000000000000001,0000000009,0002,5455
MR,00000000000000000000000000000002,0000000009,0002,5456
LR,00000000000000000000000000000003,0000000009,0002,5457
FR,00000000000000000000000000000000,0000000009,0003,5579
MR,00000000000000000000000000000001,0000000009,0003,5580
MR,00000000000000000000000000000002,0000000009,0003,5581
LR,00000000000000000000000000000003,0000000009,0003,5582
FR,00000000000000000000000000000000,0000000009,0004,5704
MR,00000000000000000000000000000001,0000000009,0004,5705
MR,00000000000000000000000000000002,0000000009,0004,5706
LR,00000000000000000000000000000003,0000000009,0004,5707
FR,00000000000000000000000000000000,0000000009,0005,5829
MR,00000000000000000000000000000001,0000000009,0005,5830
MR,00000000000000000000000000000002,0000000009,0005,5831
LR,00000000000000000000000000000003,0000000009,0005,5832
FR,00000000000000000000000000000000,000000000A,0000,5954
MR,00000000000000000000000000000001,000000000A,0000,5955
MR,00000000000000000000000000000002,000000000A,0000,5956
LR,00000000000000000000000000000003,000000000A,0000,5957
FR,00000000000000000000000000000000,000000000A,0001,6079
MR,00000000000000000000000000000001,000000000A,0001,6080
MR,00000000000000000000000000000002,000000000A,0001,6081
LR,00000000000000000000000000000003,000000000A,0001,6082
FR,00000000000000000000000000000000,000000000A,0002,6204
MR,00000000000000000000000000000001,000000000A,0002,6205
